Abbreviation,logS,deltaD,deltaH,LogKow,DHfus,Distance,Ar-sp3,CSA,PSA
ABA,1.776553635,17.8,5.25,5.1,43.03,10.48,-15,287.171,26.02
ABPhY,1.85435145,19.73,6.6,3.17,26.3,6.29,12,177.684,26.02
ACD,1.604975245,20.77,5.11,3.43,19.37,5.66,14,178.855,12.36
AM2,1.744833702,19.72,9.48,3.18,28.04,5.37,9,202.338,52.04
AM3,2.338607697,19.99,14.32,0.27,18.51,6.95,5,139.477,52.04
AM4,1.692294668,20.26,7.43,3.15,12.95,4.99,12,170.055,50.74
AM5,1.22333913,19.91,6.26,3.96,10.4,6.05,10,196.777,50.74
AM6,2.201927218,19.74,9.47,1.83,18.67,6.64,5,147.655,77.83
ANPhT,0.632246921,19.59,4.69,4.37,22.09,8.38,8,161.032,0
ATC,1.329932748,20.35,4.76,4.59,23.27,7.43,14,183.383,0
BAH,1.789017172,18.62,6.2,2.23,23.12,8.53,12,209.08,43.37
BBA,2.476604245,19.99,7.7,2.94,26.9,5.67,12,196.51,54.37
BDC,1.786380876,20.22,11.34,2.27,49.59,5.94,11,293.484,74.6
BPhY,0.008685673,18.98,3.15,3.65,15.69,9.93,12,165.864,0
BrAPh,0.458804674,19.34,5.36,1.93,14.43,7.99,5,153.675,17.07
BZL,1.204241856,19.84,4.17,2.48,21.8,8.2,12,198.446,34.14
BZPh,0.504432074,19.42,3.77,2.98,18.75,8.41,12,184.117,17.07
CAP,1.492797467,18.2,7.98,3.94,47.21,11.04,-3,331.473,58.56
CBZ,2.213876336,20.92,4.47,1.27,29.55,6.7,12,219.439,46.33
CRB,1.22137667,20.66,5.48,3.45,21.42,5.57,13,145.352,12.03
CRC,1.93075799,20.23,12.93,0.19,52.42,5.93,10,334.153,96.22
CRT,0.802497944,17.74,1.9,10.48,131.17,12.88,-18,663.674,0
DCFR,2.256571229,21.85,8.06,7.06,22.76,2.4,17,295.546,75.99
DDG,1.989683799,17.83,3.97,6.27,63.64,10.8,-6,369.932,86.99
DHNA,2.487674769,20.43,13.83,2.16,28.22,5.71,10,156.485,40.46
DPD,1.152258841,20.45,10.16,-2.62,51.91,11.28,-8,504.358,143.32
DtbC,0.571869028,16.47,4.54,5.36,19.82,13.61,-3,242.093,20.23
FBP,2.306233671,18.78,8.2,4.13,26.35,7.42,10,226.835,37.3
FRS,2.310236829,20.41,12.77,2.26,45.51,10.18,10,256.677,118.72
G4,1.564140364,18.14,7.14,2.49,25.74,8.9,2,255.952,61.83
GBC,1.349943473,20.57,9.18,2.99,65.7,12.22,3,477.692,113.6
HPR,1.38372957,19.47,6.89,4.08,44.88,6.83,4,335.071,40.54
IDM,2.209308632,20.69,6.83,4.49,43.27,4.68,12,298.891,66.84
LCP,0.094529922,17.68,5.05,15.14,27.42,11.57,-14,688.517,0
MeY,1.60191787,19.62,4.87,4.61,6.1,7.4,10,234.415,27.96
MFA,1.639319433,19.91,9.23,4.14,25.64,5.01,10,230.09,49.33
NAPh,0.245567872,19.7,5.45,3.34,14.42,7.17,10,141.691,0
NCD,1.627833999,21.69,10.67,3.81,44.4,8.5,12,249.684,101.14
NFQ,1.331093962,20.46,6.11,2.18,27.94,9.75,6,150.562,34.14
NIF,2.165736966,18.5,7.39,1.95,35.07,8.15,1,292.229,116.44
NMS,1.481005266,20.57,9.21,2.75,23.93,9.81,11,256.343,107.21
NPhL,1.305788131,20.4,10.19,2.71,16.67,4.04,10,148.391,20.23
NXA,2.145719425,19.69,11.73,1.32,31.08,10.83,7,216.454,69.97
OIV,0.731551194,21.13,4.47,8.12,22.35,5.91,20,361.195,61.47
oPhPh,0.55811418,19.55,7.96,3.58,18.49,6.04,12,171.399,20.23
PBC,2.328827803,17.84,8.71,3.09,40.89,11.25,0,267.915,74.68
PhAzPh,1.619502152,20.26,8.67,3.41,12.95,4.58,12,195.177,44.95
PhTR,0.102158215,20.35,4.76,4.59,23.27,7.43,14,181.619,0
ppBPh,1.960813887,20.68,13.46,2.64,29.78,5.31,12,180.664,40.46
PRL,1.074193281,20.86,4.82,6.61,37.25,7.62,20,231.899,0
PTZ,1.239106458,20.82,7,4.15,25.7,4.69,12,180.721,12.03
PYR,0.633817623,22.28,5.62,5.05,17.36,4.11,16,194.228,0
QRC,2.275269833,21.02,13.73,1.03,42.16,7.36,16,241.44,127.45
QZB,1.979082488,21.35,9.29,5.05,48.34,5.78,17,282.268,66.4
QZGSS,1.254118882,21.5,6.23,6.55,51.47,5.49,22,369.914,58.2
RSA,2.318466674,20.43,10.98,3.68,43.37,4.41,12,267.334,57.53
S4,1.336920043,18.12,7.51,2.02,27.86,8.84,1,276.061,71.06
SUBB,2.380379101,21.92,5.16,9.63,32.77,5.16,23,410.77,73.5
SUI,1.575301281,20.65,7.83,4.73,21.61,4.15,16,229.154,44.95
SUII,1.675802795,20.79,7.49,5.34,23.1,4.22,14,263.084,44.95
SUIV,1.879814615,21.53,5.69,7.53,16.87,4.72,20,348.708,69.67
SUR,1.720260705,20.87,8.13,4.57,22.38,3.46,15,254.393,54.18
TBZ,0.796667928,22.11,5.42,5.46,48.8,5.53,14,277.888,33.62
TCPh,1.669720492,16.86,3.59,11.06,65.65,13.15,-17,519.639,29.46
TPhL,1.14785944,20.99,4.83,5.41,21.99,6.21,18,219.35,0
TRP,2.253727542,19.91,11.02,1.75,34.86,6.11,8,263.476,104.45
TST,1.621051706,18.63,6.17,3.61,30.38,8.33,-16,262.418,37.3
VD2,1.464156251,17.37,4.08,9.54,71.6,12.05,-20,457.541,20.23
VD3,1.412253586,17.14,4.43,9.96,80.01,12.2,-21,449.927,20.23
VK3,1.016477355,20.01,6.2,2.64,30.44,9.33,5,168.418,34.14
