Chemical,logS,deltaD,deltaP,deltaH,LogKow,Distance,CSA,PSA
ABA,1.082889176,17.8,2.76,5.25,5.1,10.48,287.171,26.02
ABPhY,1.809480502,19.73,3.88,6.6,3.17,6.29,177.684,26.02
ACD,0.023257636,20.77,4.53,5.11,3.43,5.66,178.855,12.36
AM2,1.688792988,19.72,4.89,9.48,3.18,5.37,202.338,52.04
AM3,2.069361216,19.99,7.04,14.32,0.27,6.95,139.477,52.04
AM4,1.686421422,20.26,6.29,7.43,3.15,4.99,170.055,50.74
AM5,0.893098588,19.91,5.21,6.26,3.96,6.05,196.777,50.74
AM6,1.701205058,19.74,9.06,9.47,1.83,6.64,147.655,77.83
ANPhT,-0.250025435,19.59,1.42,4.69,4.37,8.38,161.032,0
ATC,1.452339148,20.35,1.35,4.76,4.59,7.43,183.383,0
BAH,1.941614222,18.62,6.92,6.2,2.23,8.53,209.08,43.37
BBA,2.161766195,19.99,7.32,7.7,2.94,5.67,196.51,54.37
BDC,0.572775009,20.22,8.78,11.34,2.27,5.94,293.484,74.6
BPhY,0.315133133,18.98,2.13,3.15,3.65,9.93,165.864,0
BrAPh,0.292225877,19.34,7.85,5.36,1.93,7.99,153.675,17.07
BZL,0.982138362,19.84,8.33,4.17,2.48,8.2,198.446,34.14
BZPh,1.018446253,19.42,5.43,3.77,2.98,8.41,184.117,17.07
CAP,1.840023647,18.2,12.05,7.98,3.94,11.04,331.473,58.56
CBZ,1.962851932,20.92,8.06,4.47,1.27,6.7,219.439,46.33
CRB,1.152744812,20.66,6.15,5.48,3.45,5.57,145.352,12.03
CRC,1.567556388,20.23,7.52,12.93,0.19,5.93,334.153,96.22
CRT,0.731980448,17.74,0.83,1.9,10.48,12.88,663.674,0
DCFR,1.922428562,21.85,6.47,8.06,7.06,2.4,295.546,75.99
DDG,1.015149195,17.83,5.66,3.97,6.27,10.8,369.932,86.99
DHNA,1.146040208,20.43,4.95,13.83,2.16,5.71,156.485,40.46
DPD,1.162334527,20.45,15.67,10.16,-2.62,11.28,504.358,143.32
DtbC,0.953954067,16.47,0.86,4.54,5.36,13.61,242.093,20.23
FBP,1.825756085,18.78,4.51,8.2,4.13,7.42,226.835,37.3
FRS,1.983988351,20.41,13.95,12.77,2.26,10.18,256.677,118.72
G4,1.553546011,18.14,4.92,7.14,2.49,8.9,255.952,61.83
GBC,1.374368072,20.57,16.75,9.18,2.99,12.22,477.692,113.6
HPR,1.261229442,19.47,7.2,6.89,4.08,6.83,335.071,40.54
IDM,1.628323336,20.69,6.49,6.83,4.49,4.68,298.891,66.84
LCP,1.514096868,17.68,0.28,5.05,15.14,11.57,688.517,0
MeY,0.820825591,19.62,4.39,4.87,4.61,7.4,234.415,27.96
MFA,1.110037608,19.91,5.27,9.23,4.14,5.01,230.09,49.33
NAPh,-1.397940009,19.7,3.06,5.45,3.34,7.17,141.691,0
NCD,1.874033337,21.69,13.42,10.67,3.81,8.5,249.684,101.14
NFQ,1.487533308,20.46,13.29,6.11,2.18,9.75,150.562,34.14
NIF,1.89513723,18.5,5.63,7.39,1.95,8.15,292.229,116.44
NMS,1.479653249,20.57,14.19,9.21,2.75,9.81,256.343,107.21
NPhL,1.936730496,20.4,5.37,10.19,2.71,4.04,148.391,20.23
NXA,1.593940523,19.69,14.25,11.73,1.32,10.83,216.454,69.97
OIV,1.506266622,21.13,4.04,4.47,8.12,5.91,361.195,61.47
oPhPh,1.635148198,19.55,4.12,7.96,3.58,6.04,171.399,20.23
PBC,2.310991788,17.84,11.61,8.71,3.09,11.25,267.915,74.68
PhAzPh,1.456476932,20.26,6.36,8.67,3.41,4.58,195.177,44.95
PhTR,-0.430237882,20.35,1.35,4.76,4.59,7.43,181.619,0
ppBPh,1.942426222,20.68,6.58,13.46,2.64,5.31,180.664,40.46
PRL,1.227705624,20.86,0.12,4.82,6.61,7.62,231.899,0
PTZ,0.827730586,20.82,7.28,7,4.15,4.69,180.721,12.03
PYR,0.861264274,22.28,4.64,5.62,5.05,4.11,194.228,0
QRC,1.350951808,21.02,10.6,13.73,1.03,7.36,241.44,127.45
QZB,1.89335,21.35,10.47,9.29,5.05,5.78,282.268,66.4
QZGSS,1.08646079,21.5,8.95,6.23,6.55,5.49,369.914,58.2
RSA,2.009063152,20.43,6.61,10.98,3.68,4.41,267.334,57.53
S4,1.580635366,18.12,4.93,7.51,2.02,8.84,276.061,71.06
SUBB,2.084825472,21.92,7.35,5.16,9.63,5.16,410.77,73.5
SUI,1.26793241,20.65,3.87,7.83,4.73,4.15,229.154,44.95
SUII,1.619740857,20.79,3.5,7.49,5.34,4.22,263.084,44.95
SUIV,1.749435071,21.53,3.33,5.69,7.53,4.72,348.708,69.67
SUR,1.437372699,20.87,4.73,8.13,4.57,3.46,254.393,54.18
TBZ,1.515463083,22.11,8.56,5.42,5.46,5.53,277.888,33.62
TCPh,1.8074045,16.86,1.53,3.59,11.06,13.15,519.639,29.46
TPhL,1.320202386,20.99,2.48,4.83,5.41,6.21,219.35,0
TRP,1.932280322,19.91,8.38,11.02,1.75,6.11,263.476,104.45
TST,1.618805801,18.63,5.37,6.17,3.61,8.33,262.418,37.3
VD2,1.904310288,17.37,1.58,4.08,9.54,12.05,457.541,20.23
VD3,1.693587423,17.14,1.88,4.43,9.96,12.2,449.927,20.23
VK3,0.822739824,20.01,12.31,6.2,2.64,9.33,168.418,34.14
