Chemical,logS,deltaD,deltaP,deltaH,deltaHDon,deltaHAcc,MWt,Density,MVol,Area,Ovality,LogKow,RI,DHfus,EdmiW,Parachor,RD,DCp,logEta,Conductivity,SurfTen,HeavyAtom,MCI,Distance,Tm,Ar-sp3,CSA,PSA
ABA,1.082889176,17.8,2.76,5.25,3.9,3.5,302.4,1.03,293.7,373.25,1.747,5.1,1.528,43.03,1.062,747.9,90.45,1112.2,11.439,176.9,35.6,22,10.287,10.48,439.85,-15,287.171,26.02
ABPhY,1.809480502,19.73,3.88,6.6,4.9,4.6,169.2,1.081,156.6,206.78,1.472,3.17,1.624,26.3,0.488,408.5,55.31,290.3,1.182,159.5,47.8,13,6.36,6.29,303.12,12,177.684,26.02
ACD,0.023257636,20.77,4.53,5.11,0.1,5.3,179.2,1.153,155.5,193.61,1.385,3.43,1.656,19.37,0.505,442.1,57.13,263.5,0.919,151.5,51.7,14,6.933,5.66,386.55,14,178.855,12.36
AM2,1.688792988,19.72,4.89,9.48,6.5,6.1,226.3,1.084,208.8,283.73,1.667,3.18,1.63,28.04,0.385,560.9,74.27,457.2,3.384,177.8,58.2,17,8.059,5.37,431.75,9,202.338,52.04
AM3,2.069361216,19.99,7.04,14.32,10,9.1,122.2,1.066,114.6,160.13,1.403,0.27,1.631,18.51,0.459,308.6,40.85,220.4,1.341,173.8,53.4,9,4.198,6.95,374.15,5,139.477,52.04
AM4,1.686421422,20.26,6.29,7.43,4.8,5.4,197.2,1.148,171.8,233.31,1.562,3.15,1.634,12.95,0.62,432.5,61.4,340.2,1.979,163.2,53.3,15,7.343,4.99,401.25,12,170.055,50.74
AM5,0.893098588,19.91,5.21,6.26,4.4,4.6,225.3,1.107,203.4,274.8,1.643,3.96,1.618,10.4,0.484,515.2,71.25,421.7,2.35,164.4,50.4,17,8.165,6.05,376.15,10,196.777,50.74
AM6,1.701205058,19.74,9.06,9.47,7.3,6.3,152.2,1.202,126.6,171.56,1.408,1.83,1.604,18.67,0.374,339.7,43.52,235.5,1.277,158.8,53,11,5.109,6.64,382.85,5,147.655,77.83
ANPhT,-0.250025435,19.59,1.42,4.69,0.2,4,154.2,1.086,142,169.86,1.291,4.37,1.543,22.09,0.326,360.1,44.76,229.7,0.588,152.2,50.5,12,5.949,8.38,370.01,8,161.032,0
ATC,1.452339148,20.35,1.35,4.76,0.9,3.2,178.2,1.068,166.9,201.78,1.377,4.59,1.561,23.27,0.496,416.2,54.05,268.7,0.738,153.6,53,14,6.933,7.43,494.55,14,183.383,0
BAH,1.941614222,18.62,6.92,6.2,0.1,7.1,226.2,1.2,188.5,246.52,1.551,2.23,1.564,23.12,0.5,497.3,61.3,363.9,1.56,149.9,46.7,17,8.271,8.53,313.36,12,209.08,43.37
BBA,2.161766195,19.99,7.32,7.7,6.2,5.1,226.2,1.279,176.8,244.66,1.606,2.94,1.618,26.9,1.046,469.1,61.98,356.2,2.335,157,56.5,17,8.198,5.67,371.49,12,196.51,54.37
BDC,0.572775009,20.22,8.78,11.34,9.8,6.3,308.3,1.219,252.9,353.67,1.829,2.27,1.734,49.59,0.282,521.9,101.39,853.1,17.536,190,74.5,23,11.025,5.94,514.85,11,293.484,74.6
BPhY,0.315133133,18.98,2.13,3.15,0.1,3,154.2,1.016,151.8,189.93,1.381,3.65,1.588,15.69,0.379,373.3,51.11,249.6,0.366,143.5,39.6,12,5.966,9.93,344,12,165.864,0
BrAPh,0.292225877,19.34,7.85,5.36,2.4,4.2,199,1.498,132.8,174.15,1.384,1.93,1.586,14.43,0.487,337.5,44.59,237.9,0.829,127.3,42.6,10,4.843,7.99,326.04,5,153.675,17.07
BZL,0.982138362,19.84,8.33,4.17,0.7,3.8,210.2,1.189,176.8,231.49,1.52,2.48,1.612,21.8,0.701,451.4,61.43,352.7,1.788,155.3,48.1,16,7.788,8.2,370.24,12,198.446,34.14
BZPh,1.018446253,19.42,5.43,3.77,0.3,3.5,182.2,1.109,164.3,210.71,1.453,2.98,1.601,18.75,0.54,412.3,56.26,297.2,0.958,150.2,44,14,6.877,8.41,322.92,12,184.117,17.07
CAP,1.840023647,18.2,12.05,7.98,6.9,5,305.4,1.051,290.7,395.47,1.864,3.94,1.552,47.21,-0.19,796.1,92.84,548.3,4.558,192.9,99.2,22,10.524,11.04,338.58,-3,331.473,58.56
CBZ,1.962851932,20.92,8.06,4.47,8.7,3.1,236.3,1.26,187.5,252.63,1.595,1.27,1.659,29.55,0.996,521.1,69.16,421,3.977,170,63.9,18,8.771,6.7,469.05,12,219.439,46.33
CRB,1.152744812,20.66,6.15,5.48,2.9,4.2,167.2,1.209,138.3,184.33,1.426,3.45,1.667,21.42,0.331,385.9,51.47,255.9,1.506,162.2,58.7,13,6.449,5.57,523.55,13,145.352,12.03
CRC,1.567556388,20.23,7.52,12.93,8.1,6.2,368.4,1.269,290.3,414.66,1.956,0.19,1.836,52.42,0.078,762.5,128.11,1601.6,122.697,195.3,121.6,27,12.922,5.93,457.35,10,334.153,96.22
CRT,0.731980448,17.74,0.83,1.9,0.1,2.3,536.8,0.93,577,719.78,2.148,10.48,1.629,131.17,-0.246,1357.8,205.1,1667.3,7.457,180.2,41.8,40,18.814,12.88,460.45,-18,663.674,0
DCFR,1.922428562,21.85,6.47,8.06,7.5,4.4,401.2,1.527,262.7,346.64,1.748,7.06,1.625,22.76,-3.428,672.3,92.83,618.9,9.5,153.8,103.8,27,12.914,2.4,583.02,17,295.546,75.99
DDG,1.015149195,17.83,5.66,3.97,8.1,2.7,338.4,1.072,315.7,431.85,1.926,6.27,1.549,63.64,0.445,712.3,100.5,1055.2,11.55,178.5,49.5,24,11.558,10.8,375.64,-6,369.932,86.99
DHNA,1.146040208,20.43,4.95,13.83,10.2,9.1,160.2,1.149,139.4,175.78,1.352,2.16,1.58,28.22,0.425,327.3,46.42,282.9,2.217,172.2,58.8,12,5.754,5.71,461.65,10,156.485,40.46
DPD,1.162334527,20.45,15.67,10.16,9.6,15.8,504.6,1.324,381,547.18,2.153,-2.62,1.545,51.91,-1.725,1216.9,120.48,661.9,82.346,162.9,66.9,36,17.694,11.28,444.35,-8,504.358,143.32
DtbC,0.953954067,16.47,0.86,4.54,4.2,2.1,220.3,0.901,244.5,296.02,1.566,5.36,1.513,19.82,0.463,568.7,73.42,460.8,0.947,147.2,33.4,16,7.032,13.61,345.78,-3,242.093,20.23
FBP,1.825756085,18.78,4.51,8.2,6.3,5.7,244.3,1.186,205.9,269.46,1.598,4.13,1.564,26.35,0.803,527.7,66.98,485.6,3.327,159.8,46,18,8.592,7.42,391.35,10,226.835,37.3
FRS,1.983988351,20.41,13.95,12.77,10.6,7.8,330.7,1.611,205.3,311.84,1.853,2.26,1.654,45.51,3.323,589.4,75.25,2921.7,4360.448,163.8,294.2,21,9.787,10.18,487.79,10,256.677,118.72
G4,1.553546011,18.14,4.92,7.14,0.2,6.2,264.3,1.15,229.7,309.74,1.708,2.49,1.539,25.74,0.823,579.4,71.93,507.3,2.486,154.3,42.4,19,9.062,8.9,396.75,2,255.952,61.83
GBC,1.374368072,20.57,16.75,9.18,10.9,6.3,494,1.359,363.5,514.11,2.088,2.99,1.568,65.7,-0.672,884.2,118.85,661.9,82.346,162.9,66.9,33,15.78,12.22,452.75,3,477.692,113.6
HPR,1.261229442,19.47,7.2,6.89,4,5.3,375.9,1.222,307.6,412.42,1.872,4.08,1.567,44.88,10.941,784.8,100.46,1051.4,12.813,168.9,51.9,26,12.46,6.83,427.95,4,335.071,40.54
IDM,1.628323336,20.69,6.49,6.83,3.3,5.6,357.8,1.296,276.2,365.49,1.782,4.49,1.605,43.27,-42.407,751.9,95.1,1146.6,44.284,177.2,99.7,25,11.918,4.68,437.45,12,298.891,66.84
LCP,1.514096868,17.68,0.28,5.05,0.1,1,536.8,0.894,600.2,768.75,2.235,15.14,1.57,27.42,-0.351,1379.7,196.98,2274.8,15.202,196.1,39.8,40,18.989,11.57,449.25,-14,688.517,0
MeY,0.820825591,19.62,4.39,4.87,0.6,4.7,225.3,1.092,206.3,272.79,1.616,4.61,1.613,6.1,0.572,508.1,71.82,412.4,1.728,156.2,44.3,17,8.254,7.4,390.63,10,234.415,27.96
MFA,1.110037608,19.91,5.27,9.23,7.3,5.2,241.3,1.203,200.6,282.17,1.703,4.14,1.625,25.64,0.707,523.3,70.89,548.4,6.42,171.4,54.6,18,8.592,5.01,508.65,10,230.09,49.33
